Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000197,2011-02-15,2011-02-15,,"Jack Nicholson","Chinatown","April 22, 1937"
2,nm0000146,2011-02-14,2011-02-14,,"Ralph Fiennes","The Constant Gardener","December 22, 1962"
3,nm0000358,2011-02-15,2011-02-15,,"Daniel Day-Lewis","There Will Be Blood","April 29, 1957"
4,nm0000134,2011-02-15,2011-02-15,,"Robert De Niro","Cape Fear","August 17, 1943"
5,nm0000199,2011-02-15,2011-02-15,,"Al Pacino","Serpico","April 25, 1940"
6,nm0000163,2011-02-15,2011-02-15,,"Dustin Hoffman","Tootsie","August 8, 1937"
7,nm0000158,2011-02-15,2011-02-15,,"Tom Hanks","Cast Away","July 9, 1956"
8,nm0000093,2011-02-15,2011-02-15,,"Brad Pitt","Fight Club","December 18, 1963"
9,nm0000164,2011-02-15,2011-02-15,,"Anthony Hopkins","The Silence of the Lambs","December 31, 1937"
10,nm0000008,2010-10-10,2010-10-10,,"Marlon Brando","Apocalypse Now","April 3, 1924"
11,nm0000460,2011-02-16,2011-02-16,,"Jeremy Irons","Dead Ringers","September 19, 1948"
12,nm0000243,2010-10-10,2010-10-10,,"Denzel Washington","Fences","December 28, 1954"
13,nm0000432,2010-10-10,2010-10-10,,"Gene Hackman","The French Connection","January 30, 1930"
14,nm0000313,2010-10-10,2010-10-10,,"Jeff Bridges","The Big Lebowski","December 4, 1949"
15,nm0000209,2010-10-10,2010-10-10,,"Tim Robbins","Mystic River","October 16, 1958"
16,nm0000020,2010-10-10,2010-10-10,,"Henry Fonda","12 Angry Men","May 16, 1905"
17,nm0000458,2011-02-15,2011-02-15,,"William Hurt","A History of Violence","March 20, 1950"
18,nm0000126,2011-02-15,2011-02-15,,"Kevin Costner","The Postman","January 18, 1955"
19,nm0000142,2010-10-10,2010-10-10,,"Clint Eastwood","Million Dollar Baby","May 31, 1930"
20,nm0000138,2010-10-10,2010-10-10,,"Leonardo DiCaprio","Inception","November 11, 1974"
21,nm0000154,2011-02-13,2011-02-13,,"Mel Gibson","Braveheart","January 3, 1956"
22,nm0000380,2010-10-11,2010-10-11,,"Robert Duvall","The Apostle","January 5, 1931"
23,nm0000168,2010-10-10,2010-10-10,,"Samuel L. Jackson","Pulp Fiction","December 21, 1948"
24,nm0000169,2010-10-11,2010-10-11,,"Tommy Lee Jones","The Homesman","September 15, 1946"
25,nm0000228,2010-10-11,2010-10-11,,"Kevin Spacey","The Usual Suspects","July 26, 1959"
26,nm0000115,2011-02-15,2011-02-15,,"Nicolas Cage","Face/Off","January 7, 1964"
27,nm0000177,2011-02-15,2011-02-15,,"Kevin Kline","Wild Wild West","October 24, 1947"
28,nm0000151,2011-02-16,2011-02-16,,"Morgan Freeman","Se7en","June 1, 1937"
29,nm0000323,2010-10-10,2010-10-10,,"Michael Caine","Youth","March 14, 1933"
30,nm0000128,2010-10-10,2010-10-10,,"Russell Crowe","Les Misérables","April 7, 1964"
31,nm0000246,2010-10-20,2010-10-20,,"Bruce Willis","Die Hard","March 19, 1955"
32,nm0000136,2011-02-13,2011-02-13,,"Johnny Depp","Sweeney Todd: The Demon Barber of Fleet Street","June 9, 1963"
33,nm0001426,2010-10-10,2010-10-10,,"Ben Kingsley","Sexy Beast","December 31, 1943"
34,nm0000537,2010-10-11,2010-10-11,,"Steve McQueen","The Great Escape","March 24, 1930"
35,nm0000129,2011-02-14,2011-02-14,,"Tom Cruise","Top Gun","July 3, 1962"
36,nm0005132,2010-10-11,2010-10-11,,"Heath Ledger","Brokeback Mountain","April 4, 1979"
37,nm0000450,2010-10-11,2010-10-11,,"Philip Seymour Hoffman","The Master","July 23, 1967"
38,nm0000518,2010-10-10,2010-10-10,,"John Malkovich","In the Line of Fire","December 9, 1953"
39,nm0000288,2010-10-10,2010-10-10,,"Christian Bale","The Dark Knight","January 30, 1974"
40,nm0000377,2011-02-15,2011-02-15,,"Richard Dreyfuss","The Goodbye Girl","October 29, 1947"
41,nm0001673,2011-02-19,2011-02-19,,"Jason Robards","All the President's Men","July 26, 1922"
42,nm0000147,2011-02-16,2011-02-16,,"Colin Firth","A Single Man","September 10, 1960"
43,nm0000123,2011-02-13,2011-02-13,,"George Clooney","Michael Clayton","May 6, 1961"
44,nm0001570,2011-02-16,2011-02-16,,"Edward Norton","Fight Club","August 18, 1969"
45,nm0000125,2011-02-16,2011-02-16,,"Sean Connery","Dr. No","August 25, 1930"
46,nm0598971,2011-02-14,2011-02-14,,"Yves Montand","Jean de Florette","October 13, 1921"
47,nm0000152,2011-02-13,2011-02-13,,"Richard Gere","Chicago","August 31, 1949"
48,nm0000198,2012-04-28,2012-04-28,,"Gary Oldman","The Dark Knight","March 21, 1958"
49,nm0000148,2011-02-13,2011-02-13,,"Harrison Ford","Raiders of the Lost Ark","July 13, 1942"
50,nm0000354,2011-02-13,2011-02-13,,"Matt Damon","Good Will Hunting","October 8, 1970"
51,nm0000024,2010-10-10,2010-10-10,,"John Gielgud","Arthur","April 14, 1904"
52,nm0000582,2010-10-10,2010-10-10,,"Joe Pesci","GoodFellas","February 9, 1943"
53,nm0000056,2011-02-15,2011-02-15,,"Paul Newman","The Hustler","January 26, 1925"
54,nm0000437,2010-10-10,2010-10-10,,"Woody Harrelson","True Detective","July 23, 1961"
55,nm0000457,2011-02-15,2011-02-15,,"John Hurt","Nineteen Eighty-Four","January 22, 1940"
56,nm0000576,2011-02-13,2011-02-13,,"Sean Penn","Mystic River","August 17, 1960"
57,nm0000686,2011-02-16,2011-02-16,,"Christopher Walken","The Deer Hunter","March 31, 1943"
58,nm0000620,2010-10-10,2010-10-10,,"Mickey Rourke","Sin City","September 16, 1952"
59,nm0000564,2010-10-10,2010-10-10,,"Peter O'Toole","Lawrence of Arabia","August 2, 1932"
60,nm0000140,2010-10-11,2010-10-11,,"Michael Douglas","Behind the Candelabra","September 25, 1944"
61,nm0000353,2011-02-15,2011-02-15,,"Willem Dafoe","Spider-Man","July 22, 1955"
62,nm0000032,2011-10-28,2011-10-28,,"Charlton Heston","Ben-Hur","October 4, 1923"
63,nm0001845,2011-02-15,2011-02-15,,"Forest Whitaker","The Last King of Scotland","July 15, 1961"
64,nm0000336,2011-02-19,2011-02-19,,"James Coburn","The Great Escape","August 31, 1928"
65,nm0000553,2010-10-20,2010-10-20,,"Liam Neeson","Kinsey","June 7, 1952"
66,nm0000226,2011-02-13,2011-02-13,,"Will Smith","The Fresh Prince of Bel-Air","September 25, 1968"
67,nm0000245,2011-02-14,2011-02-14,,"Robin Williams","Mrs. Doubtfire","July 21, 1951"
68,nm0000206,2010-10-10,2010-10-10,,"Keanu Reeves","The Matrix","September 2, 1964"
69,nm0000172,2011-02-16,2011-02-16,,"Harvey Keitel","Reservoir Dogs","May 13, 1939"
70,nm0000514,2011-02-16,2011-02-16,,"Michael Madsen","The Hateful Eight","September 25, 1957"
71,nm0000102,2011-02-16,2011-02-16,,"Kevin Bacon","Footloose","July 8, 1958"
72,nm0000438,2010-10-10,2010-10-10,"Ennemy at the Gates, The Hours","Ed Harris","Appaloosa","November 28, 1950"
73,nm0001128,2011-02-14,2011-02-14,,"Alain Delon","Le samouraï","November 8, 1935"
74,nm0177933,2011-02-14,2011-02-14,,"Chris Cooper","Adaptation.","July 9, 1951"
75,nm0000367,2010-10-10,2010-10-10,,"Gérard Depardieu","Cyrano de Bergerac","December 27, 1948"
76,nm0857620,2011-10-28,2011-10-28,,"Justin Theroux","Mulholland Dr.","August 10, 1971"
77,nm0000560,2011-02-15,2011-02-15,,"Nick Nolte","Warrior","February 8, 1941"
78,nm0000174,2010-10-10,2010-10-10,,"Val Kilmer","The Doors","December 31, 1959"
79,nm0001618,2010-10-10,2010-10-10,,"Joaquin Phoenix","Walk the Line","October 28, 1974"
80,nm0001467,2011-11-29,2011-11-29,,"Jared Leto","Dallas Buyers Club","December 26, 1971"
81,nm0000401,2010-10-10,2010-10-10,,"Laurence Fishburne","The Matrix","July 30, 1961"
82,nm0000104,2011-02-13,2011-02-13,,"Antonio Banderas","The Mask of Zorro","August 10, 1960"
83,nm0000237,2010-10-10,2010-10-10,,"John Travolta","Pulp Fiction","February 18, 1954"
84,nm0000422,2010-10-11,2010-10-11,,"John Goodman","10 Cloverfield Lane","June 20, 1952"
85,nm0000216,2011-02-16,2011-02-16,,"Arnold Schwarzenegger","Terminator 2: Judgment Day","July 30, 1947"
86,nm0004778,2010-10-10,2010-10-10,,"Adrien Brody","The Pianist","April 14, 1973"
87,nm0000474,2011-02-13,2011-02-13,,"Michael Keaton","Birdman or (The Unexpected Virtue of Ignorance)","September 5, 1951"
88,nm0000671,2010-10-11,2010-10-11,,"Billy Bob Thornton","Sling Blade","August 4, 1955"
89,nm0915989,2011-02-15,2011-02-15,,"Hugo Weaving","The Lord of the Rings: The Return of the King","April 4, 1960"
90,nm0001731,2011-02-13,2011-02-13,,"Sam Shepard","August: Osage County","November 5, 1943"
91,nm0000179,2010-10-10,2010-10-10,,"Jude Law","The Talented Mr. Ripley","December 29, 1972"
92,nm0001691,2011-02-16,2011-02-16,,"Geoffrey Rush","The King's Speech","July 6, 1951"
93,nm0000905,2011-02-13,2011-02-13,,"Roberto Benigni","La vita è bella","October 27, 1952"
94,nm0001638,2010-10-10,2010-10-10,,"Jürgen Prochnow","Dune","June 10, 1941"
95,nm0000285,2011-02-13,2011-02-13,,"Alec Baldwin","The Departed","April 3, 1958"
96,nm0001212,2011-02-13,2011-02-13,,"Joseph Fiennes","Shakespeare in Love","May 27, 1970"
97,nm0462407,2010-10-10,2010-10-10,,"Sebastian Koch","Das Leben der Anderen","May 31, 1962"
98,nm0000719,2011-02-19,2011-02-19,,"F. Murray Abraham","The Grand Budapest Hotel","October 24, 1939"
99,nm0000849,2010-10-11,2010-10-11,,"Javier Bardem","Skyfall","March 1, 1969"
100,nm0000078,2011-02-19,2011-02-19,,"John Wayne","True Grit","May 26, 1907"
101,nm0350453,2010-10-11,2010-10-11,,"Jake Gyllenhaal","Nightcrawler","December 19, 1980"
102,nm0628955,2011-02-19,2011-02-19,,"Haing S. Ngor","The Killing Fields","March 22, 1940"
103,nm0001557,2010-10-10,2010-10-10,,"Viggo Mortensen","Captain Fantastic","October 20, 1958"
104,nm0910607,2011-02-14,2011-02-14,,"Christoph Waltz","Django Unchained","October 4, 1956"
105,nm0001125,2010-10-11,2010-10-11,,"Benicio Del Toro","Sicario","February 19, 1967"
106,nm0000063,2011-02-15,2011-02-15,,"Anthony Quinn","Alexis Zorbas","April 21, 1915"
107,nm0000604,2010-10-11,2010-10-11,,"John C. Reilly","Chicago","May 24, 1965"
108,nm0000454,2011-02-16,2011-02-16,,"Dennis Hopper","Easy Rider","May 17, 1936"
109,nm0000640,2011-02-16,2011-02-16,,"Martin Sheen","The Departed","August 3, 1940"
110,nm0000052,2011-02-15,2011-02-15,,"Marcello Mastroianni","La dolce vita","September 26, 1924"
111,nm0000424,2011-02-13,2011-02-13,,"Hugh Grant","Love Actually","September 9, 1960"
112,nm0000634,2011-02-15,2011-02-15,,"Peter Sellers","Being There","September 8, 1925"
113,nm0504897,2010-10-10,2010-10-10,,"Tony Leung Chiu-wai","Fa yeung nin wah","June 27, 1962"
114,nm0000501,2010-10-11,2010-10-11,,"Ray Liotta","GoodFellas","December 18, 1954"
115,nm0185819,2011-02-14,2011-02-14,,"Daniel Craig","No Time to Die","March 2, 1968"
116,nm0000195,2011-02-16,2011-02-16,,"Bill Murray","Lost in Translation","September 21, 1950"
117,nm0000131,2010-10-10,2010-10-10,,"John Cusack","Grosse Pointe Blank","June 28, 1966"
118,nm0000249,2011-02-15,2011-02-15,,"James Woods","Vampires","April 18, 1947"
119,nm0479471,2011-10-28,2011-10-28,,"Shia LaBeouf","Honey Boy","June 11"
120,nm0001627,2011-02-15,2011-02-15,,"Sidney Poitier","Lilies of the Field","February 20, 1927"
121,nm0654110,2012-04-28,2012-04-28,,"Clive Owen","Closer","October 3, 1964"
122,nm0000150,2011-02-16,2011-02-16,,"Michael J. Fox","Back to the Future","June 9, 1961"
123,nm0000513,2010-10-11,2010-10-11,,"William H. Macy","Fargo","March 13, 1950"
124,nm0000092,2011-02-15,2011-02-15,,"John Cleese","A Fish Called Wanda","October 27, 1939"
125,nm0001715,2011-02-19,2011-02-19,,"George C. Scott","Patton","October 18, 1927"
126,nm0000597,2010-10-11,2010-10-11,,"Bill Pullman","Independence Day","December 17, 1953"
127,nm0000114,2010-10-11,2010-10-11,,"Steve Buscemi","Fargo","December 13, 1957"
128,nm0000112,2011-02-16,2011-02-16,,"Pierce Brosnan","The World Is Not Enough","May 16, 1953"
129,nm0000661,2011-02-16,2011-02-16,,"Donald Sutherland","The Hunger Games: Catching Fire","July 17, 1935"
130,nm0000095,2011-02-16,2011-02-16,,"Woody Allen","Annie Hall","November 30, 1935"
131,nm0000191,2010-10-10,2010-10-10,,"Ewan McGregor","Moulin Rouge!","March 31, 1971"
132,nm0001497,2011-02-16,2011-02-16,,"Tobey Maguire","Brothers","June 27, 1975"
133,nm0000412,2011-02-13,2011-02-13,,"Andy Garcia","Ocean's Eleven","April 12, 1956"
